station,longitude,latitude,z
690020-93218,-1.21233E8,3.6E7,-0.5083677788319534
690070-93217,-1.21767E8,3.6683E7,-0.10621770702415745
690110-99999,-8.2835E7,4.2608E7,-2.4190194739208692
690140-93101,-1.17733E8,3.3667E7,0.0
690150-93121,-1.16167E8,3.43E7,-2.125022125186618
690170-99999,-1.15567E8,3.6533E7,1.8508338979860355
690190-13910,-9.985E7,3.2433E7,1.9253755454778911
690230-24255,-1.22667E8,4.835E7,-1.6306451612903174
691174-99999,-7.6167E7,3.9467E7,-0.510806451612936
694300-99999,-1.13067E8,4.105E7,0.5505000000000138
699604-03145,-1.14617E8,3.265E7,-0.21903225806453008
700197-99999,-1.6E8,6.6617E7,1.8990406732117862
700260-27502,-1.56782E8,7.1283E7,2.434516129032261
700300-27508,-1.5985E8,7.0617E7,-1.6563972803146996
700450-27512,-1.5325E8,7.0917E7,-0.3112871266427675
700630-27403,-1.49883E8,7.05E7,-1.145563542241959
700634-99999,-1.49583E8,7.0317E7,1.0406451612903282
700635-99999,-1.49483E8,6.8483E7,-5.928115031194075
700636-27405,-1.48333E8,7.025E7,2.1199044645565834
700637-27406,-1.48477E8,7.0192E7,0.9292291149710437
700638-99999,-1.63417E8,5.485E7,2.738161325771003
700860-27401,-1.43577E8,7.0134E7,1.9435324752905387
701040-99999,-1.66133E8,6.8883E7,2.1607637529813033
701043-99999,-1.668E8,6.835E7,3.4342751049251703
701170-99999,-1.67917E8,6.5567E7,-0.27978304500445716
701190-99999,-1.66867E8,6.525E7,0.2269487002530468
701195-99999,-1.66083E8,6.625E7,0.9560054526998343
701210-26638,-1.62917E8,6.9817E7,-1.3232261777432868
701330-26616,-1.62633E8,6.6867E7,-1.3374193548387012
701333-26643,-1.62764E8,6.6069E7,0.5757133995037265
701620-26508,-1.52133E8,6.9367E7,0.7792910906298118
701625-99999,-1.51733E8,6.8133E7,-0.5449769585253534
701718-99999,-1.5785E8,6.71E7,-0.5986299062450229
701730-99999,-1.537E8,6.6E7,0.8330038579514678
701740-26533,-1.5131E8,6.654E7,3.361311827956996
701745-99999,-1.48483E8,6.75E7,-2.4341072364172476
701748-99999,-1.5065E8,6.6817E7,-4.8144562211981565
701780-26529,-1.52107E8,6.5175E7,-0.30322580645162134
701793-99999,-1.5065E8,6.5E7,-0.5529766654307551
701795-99999,-1.49833E8,6.5933E7,-4.56095671116055
701940-26413,-1.45267E8,6.6567E7,0.4120480831012969
702000-26617,-1.6544E8,6.451099999999999E7,1.3732365591397837
702005-99999,-1.633E8,6.205E7,-0.3895733648792614
702031-26620,-1.6205E8,6.47E7,1.902002224694101
702035-99999,-1.70483E8,6.3683E7,0.894389638376289
702040-26703,-1.71733E8,6.3767E7,0.9989226271400966
702060-26632,-1.68967E8,6.3317E7,0.5340322580645207
702070-26627,-1.608E8,6.3883E7,-0.16821065493646614
702075-99999,-1.60183E8,6.265E7,0.3573548387096821
702084-99999,-1.64483E8,6.2783E7,-2.022116228314786
702120-26633,-1.66033E8,6.1783E7,-0.6953902626850237
702185-99999,-1.66267E8,6.0367E7,1.7747933005552383
702186-99999,-1.66133E8,6.1517E7,2.4548064516129102
702190-26615,-1.61829E8,6.0785E7,4.419677419354841
702220-99999,-1.56933E8,6.473300000000001E7,1.7487096774193702
702225-99999,-1.56383E8,6.57E7,0.0
702310-26510,-1.5561E8,6.2957E7,0.10358064516127286
702315-99999,-1.55967E8,6.2883E7,2.5024415223264143
702320-26516,-1.59533E8,6.1583E7,-0.8681422534331205
702350-99999,-1.55567E8,6.11E7,2.3661957730812233
702460-26512,-1.52302E8,6.3886E7,-0.5662875855327343
702480-99999,-1.53883E8,6.2517E7,0.001403162055353846
702490-99999,-1.5275E8,6.21E7,1.3578280757474488
702495-99999,-1.52083E8,6.1983E7,3.1352285298025038
702510-26528,-1.50095E8,6.232E7,0.18064516129034303
702550-26514,-1.51217E8,6.1977E7,0.2893389901823298
702590-26523,-1.51239E8,6.058E7,2.1361290322580615
702595-99999,-1.51033E8,6.0467E7,2.1309784946236476
702600-26435,-1.49072E8,6.455E7,3.424888420892202
702606-99999,-1.49833E8,6.2883E7,0.6221063931729063
702607-99999,-1.35417E8,5.812E7,1.2414626626748486
702610-26411,-1.47876E8,6.4804E7,2.1048387096774093
702615-99999,-1.47617E8,6.4833E7,-0.6993382066982718
702647-99999,-1.4897E8,6.387E7,1.494002182907522
702648-99999,-1.4895E8,6.34E7,1.0514825474265095
702650-99999,-1.47067E8,6.465000000000001E7,0.43404637631554976
702670-26415,-1.45721E8,6.3994E7,1.5490322580645142
702674-99999,-1.44067E8,6.5833E7,1.4625137894784785
702675-99999,-1.455E8,6.3033E7,0.06997447347097818
702680-99999,-1.45967E8,6.21E7,-0.8481763047324051
702695-99999,-1.48883E8,6.1717E7,-0.3285825662663342
702700-99999,-1.4965E8,6.1267E7,-0.986401018128916
702710-26425,-1.45459E8,6.2159E7,1.2338709677419075
702716-99999,-1.4755E8,6.1817E7,-0.4415600614439228
702717-99999,-1.59983E8,6.66E7,-3.1212048043409126
702720-99999,-1.498E8,6.125E7,1.6370967741935658
702725-26491,-1.49966E8,6.1178E7,-0.0035483870967567555
702730-26451,-1.50028E8,6.1169E7,0.4187096774193577
702735-26409,-1.49855E8,6.1217E7,1.767741935483869
702740-25331,-1.49092E8,6.1596E7,-0.22516129032258902
702740-99999,-1.49089E8,6.1595E7,-1.0405545844589028
702745-99999,-1.50052E8,6.1754E7,1.3807429479040394
702746-99999,-1.495E8,6.1417E7,0.26935483870968824
702750-26442,-1.46352E8,6.113E7,1.611873449131508
702755-99999,-1.42933E8,6.1433E7,0.1023007426389313
702756-99999,-1.4625E8,6.1133E7,0.7770556295762034
702757-99999,-1.48683E8,6.0767E7,2.2338494623655833
702770-99999,-1.4945E8,6.0117E7,1.8937008845807526
702910-26412,-1.41938E8,6.2962E7,1.1616129032258016
702913-99999,-1.43E8,6.24E7,-0.1687888409328906
702915-99999,-1.43983E8,6.27E7,0.3125123512324066
702960-26410,-1.45451E8,6.0489E7,1.3170967741935442
702980-26445,-1.425E8,6.0083E7,0.0
702986-99999,-1.523E8,6.0817E7,4.120019695841535
703050-99999,-1.62067E8,5.865E7,1.4017769281002046
703080-25713,-1.70222E8,5.7155E7,2.4637015202076356
703160-25624,-1.62733E8,5.5221E7,0.958064516129042
703165-99999,-1.605E8,5.5333E7,0.9126247682610327
703210-99999,-1.58517E8,5.905E7,0.11378605858359236
703260-25503,-1.56656E8,5.8683E7,2.481935483870963
703330-99999,-1.58617E8,5.695E7,0.2981013824884826
703400-25506,-1.54909E8,5.9749E7,0.3454159024705987
703406-99999,-1.54317E8,6.02E7,1.6081472694528287
703407-99999,-1.5715E8,6.1717E7,0.0
703410-25507,-1.51491E8,5.9642E7,-0.7938172043010709
703430-25402,-1.46333E8,5.9433E7,0.6350107526881814
703430-25403,-1.46333E8,5.9433E7,0.1059466571379275
703500-25501,-1.52486E8,5.7751E7,1.6599999999999895
703604-99999,-1.51478E8,5.9645E7,-1.019032258064513
703606-99999,-1.60383E8,5.905E7,2.4185834312829115
703610-25339,-1.39671E8,5.9512E7,1.9709677419355032
703620-25335,-1.35324E8,5.9456E7,-2.517330759509065
703625-99999,-1.35433E8,5.9233E7,-1.4741655930276636
703626-25323,-1.35509E8,5.9243E7,-0.8861562630917348
703670-25322,-1.35709E8,5.8411E7,-0.32474781095803706
703675-99999,-1.3525E8,5.8167E7,0.0
703710-25333,-1.35365E8,5.7048E7,-1.7522580645161412
703810-25309,-1.34564E8,5.8357E7,-2.186129032258073
703816-99999,-1.349E8,5.825E7,0.5834480286738426
703817-99999,-1.3635E8,5.82E7,1.1959846103254108
703830-25310,-1.34586E8,5.7499E7,3.609235812543133
703855-99999,-1.339E8,5.695E7,1.205920937991415
703860-25329,-1.32937E8,5.6806E7,-0.04931778103965456
703870-99999,-1.3237E8,5.6484E7,0.6449451242120929
703884-99999,-1.32833E8,5.52E7,0.1778448275861919
703886-99999,-1.3465E8,5.6247E7,0.31617589390344847
703894-25367,-1.33075E8,5.558E7,-0.4670967741935641
703950-25325,-1.31712E8,5.5357E7,1.347076652203988
703980-25308,-1.31579E8,5.5039E7,0.8109677419354853
704140-99999,1.741E8,5.2717E7,0.6678974444235237
704540-25704,-1.7665E8,5.1883E7,0.05479859040391233
704545-99999,1.79267E8,5.1383E7,-0.5002616985797346
704820-25626,-1.6885E8,5.295E7,1.8563608853141673
704890-99999,-1.6655E8,5.39E7,-0.09705760368662908
704896-25625,-1.60517E8,5.6E7,0.0
711680-99999,-9.6633E7,4.3733E7,0.0
722010-12836,-8.1752E7,2.4555E7,1.0000000000000284
722015-12850,-8.1683E7,2.4583E7,1.5044838709677464
722016-99999,-8.105E7,2.4733E7,1.8100499121598688
722020-12839,-8.0316E7,2.5791E7,2.613741935483901
722025-12849,-8.0154E7,2.6072E7,1.4405529953916982
722026-12826,-8.0383E7,2.5483E7,0.5251612903225578
722029-99999,-8.0433E7,2.565E7,0.9190648045153154
722030-12844,-8.0099E7,2.6685E7,1.1845161290322324
722038-12897,-8.1775E7,2.6152E7,0.46597022332507265
722038-99999,-8.1775E7,2.6153E7,-0.22561290322580874
722040-12838,-8.0644E7,2.8101E7,0.08140860215054602
722045-12843,-8.0243E7,2.7653E7,0.11143548387094881
722046-99999,-8.08E7,2.8517E7,0.13964193548387982
722050-12815,-8.1325E7,2.8434E7,2.320967741935462
722051-12841,-8.1333E7,2.8545E7,-0.5024193548387075
722053-12841,-8.1333E7,2.8545E7,1.5476151279199115
722055-99999,-8.2217E7,2.9167E7,-0.022073732718908445
722056-12834,-8.1048E7,2.9183E7,1.2122580645161491
722057-12854,-8.1244E7,2.878E7,2.525483870967733
722059-99999,-8.83E7,4.2683E7,-2.2358965486126863
722060-13889,-8.1694E7,3.0495E7,-0.800000000000054
722065-93837,-8.1667E7,3.0233E7,1.0025806451612738
722066-03853,-8.1417E7,3.04E7,1.4137524208532568
722067-93832,-8.1883E7,3.0217E7,0.3131827956989355
722068-99999,-8.1517E7,3.0333E7,1.6150824372760155
722070-03822,-8.121E7,3.2130000000000004E7,1.898387096774215
722076-99999,-8.7596E7,4.0199E7,-1.7032258064516128
722080-13880,-8.004E7,3.2899E7,1.551935483870949
722085-93831,-8.0717E7,3.2482999999999996E7,2.644539170506917
722090-99999,-8.1567E7,3.1883E7,1.5430486257080958
722103-99999,-8.0367E7,2.7483E7,0.0
722104-92806,-8.2626E7,2.7763E7,0.47285410299943464
722106-12835,-8.1861E7,2.6585E7,-0.35096774193550573
722108-99999,-8.175E7,2.6533E7,1.7997329731447707
722110-12842,-8.254E7,2.7962E7,0.11419354838709239
722115-99999,-8.255E7,2.7383E7,0.906129032258093
722116-99999,-8.2683E7,2.79E7,-1.231290322580648
722119-99999,-8.2017E7,2.7983E7,-0.4101397849462671
722120-12833,-8.3105E7,2.9633E7,1.965781426302101
722123-99999,-8.1783E7,2.795E7,-0.5220967741935567
722130-13861,-8.24E7,3.125E7,-0.6775483870967491
722135-13870,-8.2507E7,3.1536E7,0.7185806451612677
722136-99999,-8.1467E7,3.125E7,0.6127303556658319
722137-13878,-8.1391E7,3.1152E7,0.3504516129031998
722138-13835,-8.945E7,3.0367E7,0.7676267110427943
722140-93805,-8.4353E7,3.0393E7,1.9132258064516208
722146-12816,-8.2276E7,2.9692E7,-0.5593548387096945
722160-13869,-8.4194E7,3.1536E7,2.528709677419357
722165-13815,-8.9783E7,3.4983E7,-1.1985553997195098
722166-93845,-8.3277E7,3.0783E7,2.8448387096774184
722167-99999,-7.805E7,3.825E7,-2.656129032258079
722170-03813,-8.3653E7,3.2685000000000004E7,1.6390908004778737
722175-13860,-8.36E7,3.2633000000000004E7,2.1406699751860856
722180-03820,-8.1963E7,3.3364E7,3.0454767025089637
722190-13874,-8.4442E7,3.363E7,1.9945161290322488
722195-99999,-8.4517E7,3.3767E7,0.9322094770586915
722196-99999,-8.43E7,3.3867E7,2.48143369175628
722197-99999,-8.4572E7,3.3357E7,0.0
722200-12832,-8.5033E7,2.9733E7,1.3561290322580817
722210-13858,-8.6517E7,3.0483E7,-0.24483870967743826
